# official checkpoint: /local/554122/ckpt/opv2v_zoo/cobevt_camera_dynamic/net_epoch91.pth
# 648 tensors, 27452686 parameters

fax.layers.1.1.bn2.running_var	[32]
fax.layers.1.1.bn2.num_batches_tracked	[]
fax.layers.1.1.conv3.weight	[128, 32, 1, 1]
fax.layers.1.1.bn3.weight	[128]
fax.layers.1.1.bn3.bias	[128]
fax.layers.1.1.bn3.running_mean	[128]
fax.layers.1.1.bn3.running_var	[128]
fax.layers.1.1.bn3.num_batches_tracked	[]
fax.layers.2.0.conv1.weight	[32, 128, 1, 1]
fax.layers.2.0.bn1.weight	[32]
fax.layers.2.0.bn1.bias	[32]
fax.layers.2.0.bn1.running_mean	[32]
fax.layers.2.0.bn1.running_var	[32]
fax.layers.2.0.bn1.num_batches_tracked	[]
fax.layers.2.0.conv2.weight	[32, 32, 3, 3]
fax.layers.2.0.bn2.weight	[32]
fax.layers.2.0.bn2.bias	[32]
fax.layers.2.0.bn2.running_mean	[32]
fax.layers.2.0.bn2.running_var	[32]
fax.layers.2.0.bn2.num_batches_tracked	[]
fax.layers.2.0.conv3.weight	[128, 32, 1, 1]
fax.layers.2.0.bn3.weight	[128]
fax.layers.2.0.bn3.bias	[128]
fax.layers.2.0.bn3.running_mean	[128]
fax.layers.2.0.bn3.running_var	[128]
fax.layers.2.0.bn3.num_batches_tracked	[]
fax.layers.2.1.conv1.weight	[32, 128, 1, 1]
fax.layers.2.1.bn1.weight	[32]
fax.layers.2.1.bn1.bias	[32]
fax.layers.2.1.bn1.running_mean	[32]
fax.layers.2.1.bn1.running_var	[32]
fax.layers.2.1.bn1.num_batches_tracked	[]
fax.layers.2.1.conv2.weight	[32, 32, 3, 3]
fax.layers.2.1.bn2.weight	[32]
fax.layers.2.1.bn2.bias	[32]
fax.layers.2.1.bn2.running_mean	[32]
